SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto
6065169,22.2635839,-97.8685727,Auto,2020,DICIEMBRE,10,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2635839,-97.8685727,AUTO,False
6065097,23.7143104,-99.1098037,Auto,2020,DICIEMBRE,11,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7143104,-99.1098037,AUTO,False
6065349,22.2503412,-97.8727590,Auto,2020,DICIEMBRE,12,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2503412,-97.872759,AUTO,False
6065270,23.7390959,-99.1399992,Auto,2020,DICIEMBRE,14,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7390959,-99.1399992,AUTO,False
6064126,22.2597862,-97.8059107,CamiÃ³n,2020,DICIEMBRE,16,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2597862,-97.8059107,CAMIA3N,False
6065751,22.2681348,-97.8123921,CamiÃ³n,2020,DICIEMBRE,16,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2681348,-97.8123921,CAMIA3N,False
6065757,22.2507311,-97.8639326,Auto,2020,DICIEMBRE,17,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2507311,-97.8639326,AUTO,False
6066022,22.2449524,-97.8464439,Auto,2020,DICIEMBRE,18,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2449524,-97.8464439,AUTO,False
6065481,22.2754756,-97.8452158,Auto,2020,DICIEMBRE,18,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2754756,-97.8452158,AUTO,False
6065623,22.2657445,-97.8167446,Auto,2020,DICIEMBRE,7,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2657445,-97.8167446,AUTO,False
6066096,22.2515904,-97.8463585,Auto,2020,DICIEMBRE,9,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2515904,-97.8463585,AUTO,False
6066704,22.3046954,-97.8583087,Auto,2020,DICIEMBRE,10,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3046954,-97.8583087,AUTO,False
